name,address,city,country,continent,geoX,geoY
Clinique Internationale Du Parc Monceau,21 Rue De Chazelles,Paris,France,Europe,48.879989,2.304149
Chesterfield Medical Partnership - Ashgate Medical Practice,"Ashgate Medical Practice, Ashgate Manor, Ashgate Rd",Chesterfield,UK,Europe,53.238444,-1.437811
Heal Africa Hospital - Democratic Republic of the Congo ,Avenue Rue Lyn Lusi N∞ 111,Goma,Congo,Africa,-1.68901,29.235497
German Hospital,S?raselviler Cad. No:119,Istanbul,Turkey,Europe,41.032917,28.984517
Dr Jaume Perramon - Centro de Traumatologia Y Ortopedia SLP,"Carrer d Enric Borr‡s, 14",Badalona,Spain,Europe,41.446965,2.246687
Centre Medical International,1 Han Thuyen Street,Ho Chi Minh City,Vietnam,Asia,10.779328,106.698695
Dr Malcolm Linsell - Cairns Plastic Surgery,"Unit 4, Level 2, 193-197 Lake Street",Cairns ,Australia,Oceania,-16.915847,145.770091
Dr Bruno Guiberteau - Cliniques Le Confluent,2-4 Rue Eric Tabarly,Nantes,France,Europe,47.194894,-1.548891
Clinique Pasteur At Hopital prive Drome Ardeche,294 Boulevard Charles de Gaulle,Guilherand Granges,France,Europe,44.934316,4.882609
Eulji University Hospital,95 Dunsanseo-ro,Daejeon,South Korea,Asia,36.355278,127.381901
Public Institution Republican Siauliai Hospital,V. Kudirkos str. 99,Siauliai,Lithuania,Europe,55.942873,23.302772
Azienda Sanitaria Locale Napoli 3 Sud,"Corso Italia, 1","Sorrento, Naples",Italy,Europe,40.624403,14.369897
Dr Med Cornelius Forster,Prinzenallee 89,Berlin,Germany,Europe,52.552845,13.381791
CHU De Liege,Avenue de LHÚpital,Liege,Belgium,Europe,50.572322,5.567311
Aurad Aquitaine,Rue Paul Langevin,Langon,France,Europe,44.544385,-0.244709
VIP And Foreign Patient Medical Center At Kowloon Hospital,No.118 Wansheng Street,Suzhou,China,Asia,31.323672,120.7266
Sungseo Hospital,"1272-9, Sindang-dong",Daegu,South Korea,Asia,35.851339,128.493237
"The Department Of Orthopaedics And Traumatology At The University of Hong Kong, Queen Mary Hospital","Administration Office, 5/F, Professorial Block, Queen Mary Hospital",Hong Kong,Hong Kong,Asia,22.283088,114.137181
Hopital General Peltier,Avenue Marechal Foch,Djibouti City ,Djibouti,Africa,11.608295,43.153439
Hopital Damardji,Opposite Stade Aid Abderahim Ahmed,Tiaret,Algeria,Africa,35.383905,1.314627
Sorriso Dental SRO (Dental),NovÈ sady 2,"Brno, South Moravia",Czech Republic,Europe,49.188878,16.60691
NMC Specialty Hospital Llc,"Electra Street, beside sama tower",Abu Dhabi,United Arab Emirates,Asia,24.483813,54.361385
Saint Josephs Catholic Hospital,"Tubman Boulevard, Congo Town",Monrovia,Liberia,Africa,6.273025,-10.755425
Dr Gustavo Sayago - Sanatorio De Los Acros,Av. Juan B. Justo 909,Buenos Aires,Argentina,The Americas/The Caribbean,-34.581026,-58.429568
Centre Hospitalier,96 Rue des Capucins,Romorantin-Lanthenay,France,Europe,47.358999,1.733431
Dr Christian Bannwart ,Bahnhofpl. 6,Zermatt,Switzerland,Europe,46.023467,7.749055
Al Emeis Hospital,King Abdul Aziz Rd,Jazan,Saudi Arabia,Asia,16.89182,42.56993
Dr R S Rainey - Southeast Family Practice,370-372 Cregagh Road,Belfast,UK,Europe,54.570678,-5.893767
American Hospital Doha,"Al Munthanza Street, Al Saltah Traffic Signal, next to Ministry of Labour",Doha,Qatar,Asia,25.266858,51.516753
CMC - Centre Medical pour la Communaute,Avenue Nyanza 4,Lubumbashi,Congo ,Africa,-11.641408,27.490914
Costa Deje Medical Centre,"Avenida Bruselas, 20, Edificio Terrazas del Duque, local 3",Adeje,Spain,Europe,28.094558,-16.73801
Dr Boski Shah - Aurora Holistic Care,"Suite 4, Level 5, 372 Albert street",Melbourne,Australia,Oceania,-37.809631,144.978694
Ospedale Gaetano Fucito,Corso Umberto I,"Mercato San Severino, Salerno",Italy,Europe,40.774875,14.745696
Godrej Memorial Hospital,Eastern Express Hwy,Mumbai,India,Asia,19.104107,72.927639
Suffolk Street Surgery,107 Grafton Street,Dublin,Ireland,Europe,53.34807,-6.24827
Hospital Sociosanitari de lHospitalet - Consorci Sanitari Integral,"Av. Josep Molins, 29-41",LHospitalet de Llobregat,Spain,Europe,41.373961,2.106525
Dr Gan Huang - 60th Hospital Of Chinese Peoples Liberation Army,No. 111 Ping Deng Lu,Dali,China,Asia,25.698467,100.159922
Tsugaru General Hospital,12-3 Iwakicho ,"Goshogawara-shi, Aomori-ken",Japan,Asia,40.80734,140.40407
Kinan Hospital,46-70 Shinjocho,"Tanabe, Wakayama",Japan,Asia,33.730228,135.404629
The Queen Elizabeth Hospital,28 Woodville Road,Woodville South,Australia,Oceania,-34.883407,138.533223
Orotta Hospital,Aarerib Street ,Asmara,Eritrea,Africa,15.33494,38.923997
Hospital De Merida,Avda Antonio Campos Hoyos 26,Merida,Spain,Europe,38.912651,-6.362392
Clinica Santa Elena,"Calle de la Granja, 8",Madrid,Spain,Europe,40.445738,-3.716831
Victoria Harbour Medical Centre,"850 Collins St, Tenancy 2 and 3",Docklands,Australia,Oceania,-37.820648,144.944252
Epworth Freemasons Medical Centre,320 Victoria Parade,East Melbourne ,Australia,Oceania,-37.80915,144.98143
MEDSI,Pushkina St 109,"Perm, Perm Krai",Russia,Europe,58.002091,56.220514
Clinique Diar Saada,100 Chemin Abdelkader,Algiers,Algeria,Africa,36.745979,3.056779
Dr Aggie Sun - Pyrmont Dental Centre (Dental),"Shop 144, 313 Harris Street",Sydney,Australia,Oceania,-33.874101,151.196395
Medica Klinika,Gardino g. 2,Siauliai,Lithuania,Europe,55.91151,23.28255
Kyotodaiichi Red Cross Hospital,Hon 15-749,"Kyoto, Kyoto",Japan,Asia,34.981162,135.772561
Shanghai Pulmonary Hospital,No 1239 Si Ping Road,Shanghai,China,Asia,31.274411,121.501732
Dr Don Dematagoda - Gin Gin Hospital ,5 King Street ,Gin Gin ,Australia,Oceania,-24.985942,151.953369
Shanghai First Peoples Hospital,"650 Xinsongjiang Rd, Songjiang",Songjiang,China,Asia,31.040395,121.22553
Dr Andrew Samuel Ing - SingHealth,"31 Third Hospital Avenue, #03-03 Bowyer Block C",Singapore,Singapore,Asia,1.280732,103.835842
Dr Francisco Saldana Gonzalez - Clinica Santa Isabel Sevilla,"Calle Luis Montoto, 100",Sevilla,Spain,Europe,37.38697,-5.975645
Ospedale Generale di Zona Moriggia Pelascini,"Via Moriggia Pelascini,3","Gravedona, Como",Italy,Europe,46.142687,9.299853
Naniwa Hospital,2 Chome-3-11 Saiwaicho,"Osaka, Osaka",Japan,Asia,34.668926,135.489484
Puli Christian Hospital,"No. 1, Tieshan Rd",Puli Township,Taiwan,Asia,23.970526,120.946303
Rsud Bhakti Dharma Husada Klinik Gigi (Dental),Jalan Raya Kendung No 115-117,Surabaya,Indonesia,Asia,-7.257447,112.635059
Rumah Sakit Immanuel - Bandung,Jalan Kopo 161,Bandung,Indonesia,Asia,-6.935754,107.596319
Centre Hospitalier Regional Universitaire de Lille,2 Avenue Oscar Lambret,Lille,France,Europe,50.611125,3.034693
World Med Clinic,"229/1 and 229/2, Moo, 7",Ao Nang,Thailand,Asia,8.038741,98.832059
Centro Medico Embondeiro,Av. Martires do Colonialismo Parc. 1,Tete,Mozambique,Africa,-16.132376,33.606359
Farwaniya Hospital,Subah An Nasser,Kuwait City,Kuwait,Asia,29.271067,47.905149
Dr Serena Salim - St Johns Medical Centre,St Johns Road,Altrincham,UK,Europe,53.382841,-2.353813
Sali International Hospital,Yacht Club Road,Dar es Salaam,Tanzania,Africa,-6.746412,39.273486
Tristar Medical Group - Deer Park,"Shop 1, 20 Clairview Road ",Deer Park,Australia,Oceania,-37.777997,144.755948
Dr Sabine Korner - Specialist for Gynaecology and Obstetrics,Steintorwall 21,Braunschweig,Germany,Europe,52.262571,10.533468
Krankenhaus St Vinzenz,Bismarckstraﬂe 10,Braunschweig,Germany,Europe,52.264528,10.535325
Dr Med Irmgard Gollwitzer,Weststraﬂe 126,Herzogenrath,Germany,Europe,50.831807,6.078509
Hopital Pierre-Beregovoy,1 Boulevard de lHÙpital,Nevers,France,Europe,46.980501,3.123733
Dr Egbert Saldanha - Shreeji Hospital,"1st Floor, Nilkanth Shopping Centre, Opp. SNDT College, Cama Lane Corner",Mumbai,India,Asia,19.083002,72.901629
The Olive Tree Family Clinic And Surgery,"Blk 303 Anchorvale Link, #01-02",Singapore,Singapore,Asia,1.387458,103.89061
Gosford Hospital,Holden St,Gosford,Australia,Oceania,-33.420594,151.340172
Marie Curie Hospice ,11 Lyndhurst Gardens,London,UK,Europe,51.551048,-0.171248
Sydney Dermatology Group,"187 Macquarie Street, Level 11",Sydney,Australia,Oceania,-33.866913,151.212141
Spitalul Municipal Sighisoara,Strada Zaharia Boiu 40 ,"Sighisoara, Mures",Romania,Europe,46.220128,24.783478
Spital Municipal Medias,"Strada Clo?ca, 2","Medias, Sibiu",Romania,Europe,46.163465,24.356949
Centre Hospitalier Intercommunal Marmande Tonneins - Site Salesses,Cours de L`AbbÈ Lanusse,Tonneins,France,Europe,44.392605,0.302327
Kumpulan Medic,"22, Jalan SS 15/4d, Ss 15","Subang Jaya, Selangor",Malaysia,Asia,3.07373,101.58854
Hui Ya Hospital,"Zhongxing North Road No. 186, Dayawan",Huizhou,China,Asia,22.74933,114.52792
ClinicaRLO,Av. de Iecla 10,BenicarlÛ,Spain,Europe,40.41549,0.42713
Fundacion Cardiovascular de Colombia,Calle 155A No. 23 - 58 ,Floridablanca ,Colombia,The Americas/The Caribbean,7.1218,-73.1351
ClÌnica Dental Satorres (Dental),"Carrer de Mariana Col‡s, 28",Paterna,Spain,Europe,39.5058,-0.44074
ARNAS Azienda Ospedaliera Civico Di Cristina Benfratelli,Piazza Nicola Leotta 4,"Palermo, Palermo",Italy,Europe,38.10437,13.35601
Hospital Abente Y Lago,"Paseo del General Sir John Moore, s/n",La Coruna,Spain,Europe,43.36903,-8.38949
Clinica Deza,"Calle C, n∫ 10 bajo",Lalin,Spain,Europe,42.659303,-8.108811
Dr Stephen McMahon - Malabar Orthopedic Clinic,43 The Avenue,Windsor,Australia,Oceania,-37.85379,144.99806
Shenzhen Jingtian Hospital,"No. 10, Shangbao West Rd, Futian District",Shenzhen,China,Asia,22.55063,114.0439
Clinica Unidental Internacional (Dental),Paseo De Las Acacias 4,Madrid,Spain,Europe,40.40458,-3.70467
Hospital de Flores,Batlle y OrdÛÒez 824,Trinidad,Uruguay,The Americas/The Caribbean,-33.521135,-56.895617
Bangpakok 9 International Hospital,"362, Rama 2 Rd., Bang Mot, Chom Thong",Bangkok,Thailand,Asia,13.680841,100.471867
Dr Meen Jae Lee,"Hangang Mansion, 11 dong 203, Ichon-dong",Yongsan-gu,South Korea,Asia,37.53707,126.98062
Dr Panos Kottaridis - The Princess Grace Hospital,42-52 Nottingham Place,London,UK,Europe,51.522257,-0.152969
Fast Lane Walk In Clinic,799 Bloor Street West,"Toronto, Ontario",Canada,The Americas/The Caribbean,43.66272,-79.42131
Sanador Hospital,Str. Sevastopol no. 9 Sector 1 ,"Bucharest, Bucharest",Romania,Europe,44.44946,26.08453
Dr Olga Schilling - Rotkreuzklinik Lindenberg Hospital Gmbh,"Otto Gessler -Platz 1 , Dr. Otto Gessler Square",Lindenberg im Allg‰u,Germany,Europe,47.6016,9.88722
Kishiwada Tokushukai Hospital,4-27-1 Kamoricho,"Kishiwada, Osaka",Japan,Asia,34.471859,135.392331
Dr Siri Chai - Patong Hospital,57 Sai Nam Yen Road,Phuket,Thailand,Asia,7.81793,98.33248
Regional Hospital No 4,50 Kirova Street,"Adler, Adlerski Rayon Krasnodar",Russia,Europe,49.8974,40.24308
City Hospital No 4,"42, Dagomysskaya Street","Sochi,  Kransnodar Krai",Russia,Europe,43.59854,39.74361
Dr Mull - Kantonsspital Nidwalden,Ennetmooserstrasse 19,Stans ,Switzerland,Europe,46.96,8.35772
Dr Nathan James - Bundaberg Base Hospital,271 Bourbong St,Bundaberg,Australia,Oceania,-24.868819,152.338033
Dr Dsandra Ratpenbury - Bundaberg Base Hospital ,271 Bourbong St,Bundaberg,Australia,Oceania,-24.868819,152.338033
Dr Jessica McDonald - Bundaberg Base Hospital,271 Bourbong St,Bundaberg,Australia,Oceania,-24.868819,152.338033
Hindu Mission Hospital,"103, GST Road",Chennai,India,Asia,12.92399,80.11474
Dr Li - Ya Jiang Peoples Hospital,Jiefang St ,Garze,China,Asia,31.62126,99.98925
Yajiang Peoples Hospital ,Jiefang St,Ya Jiang ,China,Asia,29.38468,105.11565
Canterbury Hospital,575 Canterbury Rd,Campsie,Australia,Oceania,-33.920002,151.099759
Hospitalsenheden Horsens,Sundvej 30,Horsens,Denmark,Europe,55.863492,9.872779
Antalya Life Hospital,?irinyal? Mh. 1487 Sk. No:4 Muratpa?a,Antalya,Turkey,Europe,36.862886,30.730618
Wockhardt Hospital - The Umrao IMSR,"Near Railway Station, Dist. Thane",Mira Road ,India,Asia,19.2952,72.85467
Hopital Sainte Musse,54 Rue Henri Sainte-Claire Deville,Toulon,France,Europe,43.12527,5.97535
John F Kennedy Medical Center,Tubman Blvd,Liberia,Liberia,Africa,10.62723,-85.44268
Confident Dental Care (Dental),"Cotswold House, 37 London Rd",Stroud,UK,Europe,51.742823,-2.215057
Union Quay Medical Centre,1 Union Quay,Cork,Ireland,Europe,51.89705,-8.46662
RIU Bachata Outpatient Medical Center,Bahia de Maimon,Maimon,Dominican Republic,The Americas/The Caribbean,19.833498,-70.769911
Rescue Clinic Bayahibe,Hotel Viva Dominicus Beach,Bayahibe,Dominican Republic,The Americas/The Caribbean,18.348883,-68.828929
Aykor Medical Center,"Drijinsky Street, 159",Bishkek,Kyrgyzstan,Asia,42.88417,74.60266
Center of Scientific Reasearch Orthopaedy and Trauma,"206, Krivonosov Street",Bishkek,Kyrgyzstan,Asia,42.88417,74.60266
Hospital No 3,"Kamboyova Street, 92",Bishkek,Kyrgyzstan,Asia,42.88417,74.60266
President Hospital,Kievskaya Street 110,Bishkek,Kyrgyzstan,Asia,42.88417,74.60266
Newcastle Westgate NHS Walk in Centre,"Newcastle General Hospital, Westgate Road",Newcastle,UK,Europe,54.974581,-1.646698
Milton Keynes Urgent Care Services,"Milton Keynes General Hospital, Standing Way",Milton Keynes,UK,Europe,52.025719,-0.736979
Primary Emergency Care Centre (Manchester Royal Infirmary),"Manchester Royal Infirmary, Oxford Road",Manchester,UK,Europe,53.463287,-2.225864
Teddington Memorial Hospital,Hampton Road,Teddington,UK,Europe,51.425695,-0.340901
St Andrews Health Centre,"2, Hannaford Walk",London,UK,Europe,51.524132,-0.01464
Brent Urgent Care Centre,"Central Middlesex Hospital, Acton Lane",London,UK,Europe,51.53146,-0.26888
Leicester Urgent Care Centre,Infirmary Close,Leicester,UK,Europe,52.627376,-1.134993
Animus Kyanous Stavros,100 Kyprou Street,Larissa,Greece,Europe,39.638635,22.41313
Hospital Lusiadas Lisboa,Rua Oito 38,Lisboa,Portugal,Europe,38.72824,-9.16786
MIU St Georges Centre,"2 St Georges Centre, St Georges Road",Leeds,UK,Europe,53.748315,-1.5314
Gloucester Health Access Centre,"Eastgate House, 121-131 Eastgate St",Gloucester,UK,Europe,51.862469,-2.240146
Barry Community Hospital,Colcot Road,Barry,UK,Europe,51.41195,-3.2834
Birmingham NHS Walk-in Centre,"Lower Ground Floor, Boots, 66 High St",Birmingham,UK,Europe,52.479854,-1.894765
Timios Stravros Hospital,17 Raphael Santi Street,Larnaca,Cyprus,Europe,34.9161,33.61974
Euromedica S.A. General Clinic,Vasileos Georgiou 14,Thessaloniki,Greece,Europe,40.62108,22.95359
Clinica Juaneda - Santa Ponsa,"Gran Via Puig Del Teix, 4",Santa Ponsa,Spain,Europe,39.516532,2.48316
Pantai Hospital Manjung,Taman Manjung Point Seksyen 2,"Seri Manjung, Perak",Malaysia,Asia,4.21083,100.66598
Elpis Medical Centre,Agapinoros 68,Paphos ,Cyprus,Europe,34.762655,32.417812
Ken Lee Medical Centre - Central - Psychiatry,"Room 1103-4, 11/F, Melbourne Plaza, 33 Queens Road Central, Central",Hong Kong,Hong Kong,Asia,22.28236,114.156612
Homerton University Hospital,Homerton Row,London,UK,Europe,51.550808,-0.045912
Royal Devon and Exeter Hospital,Barrack Road,Exeter,UK,Europe,50.717989,-3.507491
Kinesis Care Sdn Bhd,"P-1-12, Plaza Damas, Block P,60 Jalan Sri Hartamas 1","Kuala Lumpur, Kuala Lumpur",Malaysia,Asia,3.15891,101.65099
Bellevue Multispeciality Hospital,"New Link Road, 1st Floor, THE LINK","Andheri West, Mumbai",India,Asia,19.14173,72.83386
Centre Medical Chirurgical Obstetrical Cote d opale,Route de Desvres,Saint-Martin-Boulogne,France,Europe,50.724114,1.643401
Medical Center Elit,120 Baykalskayaz street,"Irkutsk, Irkutsk Oblast",Russia,Europe,52.2638,104.31034
Meridian Hospital,21 Igbokwe Street,Port Harcourt,Nigeria,Africa,4.8134,7.04397
Dr Mohammed John Phetrus - Rumah Sakit Awal Bros Makassar,Jalan Jendral Urip Sumiharjo No. 43,Makassar,Indonesia,Asia,-5.134595,119.435081
Hospital Susana Lopez De Valencia,CALLE No 17A - 196 La Ladera,Popay·n,Colombia,The Americas/The Caribbean,2.432233,-76.617823
Rumah Sakit Awal Bros - Makassar ,Jl. General Urip Sumoharjo 43 ,Makassar,Indonesia,Asia,-5.14418,119.42481
Hospital San Pedro de Alcantara,"Avenida Pablo Naranjo, s/n",C·ceres,Spain,Europe,39.46681,-6.36869
Centre Medical de Taolagnaro - Fort Dauphin,"Villa Beryl, Ampotatra",Fort Dauphin,Madagascar,Africa,-25.036141,46.9933
Dr Murray Wiggins - City Medical Napier ,76 Wellesley Road,Napier,New Zealand,Oceania,-39.49557,176.91311
Centre Hospitalier Chubert,20 Boulevard GÈnÈral Maurice Guillaudot,Vannes,France,Europe,47.66571,-2.7486
Dr Pie Hobus - Huisartsenpraktijk Wijnandsrade ,Oudenbosch Street address 36-B,Wijnandsrade,Netherlands,Europe,50.90398,5.8818
Florence Nightingale Hospital,"Feneryolu Mh., Ba?dat Cad. No:63",Istanbul,Turkey,Europe,40.98151,29.04145
Okmeydani Egitim Ve Arastirma Hastanesi,"Kaptanpasa Mah., Dar¸laceze Cad. No:27",Istanbul,Turkey,Europe,41.065595,28.97351
Centrul Medical Galenus,"Mihai Viteazul Str., 31","Tirgu Mures, Mures",Romania,Europe,46.551665,24.573167
Spitalul Clinic Judetean de Urgenta Tirgu-Mures,Strada Gheorghe Marinescu 50,"Tirgu Mures, Mures",Romania,Europe,46.55896,24.583103
Spitalul Clinic Judetean de Urgenta Sibiu,Bulevardul Corneliu Coposu 2-4,"Sibiu, Sibiu",Romania,Europe,45.794791,24.157328
Hawkesbury And District General Hospital,1111 Ghislain St,"Hawkesbury, Ontario",Canada,The Americas/The Caribbean,45.598843,-74.60781
Dr Tashi Jatsho - Dr T Medical Clinic,"130/5 Moo 6, Tambon Baantai",Amphur Koh Phangan,Thailand,Asia,9.724306,99.996529
Dr Simon Bull,68 Sooning Street,Nelly Bay,Australia,Oceania,-19.15872,146.84805
Vijaya Hospital,"No.434, N.S.K.Salai","Vadapalani, Chennai ",India,Asia,13.04767,80.20484
Centre Hospitalier Du Pays D`Apt,225 Avenue de Marseille,Apt,France,Europe,43.87669,5.38283
Mercy Ascot Endoscopy North Shore,46 Taharoto Road,North Shore,New Zealand,Oceania,-36.78747,174.75762
Centro Medico Binibeca,"17 Carrer Timo, Poblat De Pescadors",Sant Lluis,Spain,Europe,39.82321,4.230198
Clinique de La Soukra,"36, rue Mohamed Sheikh Enneifer ",Tunis,Tunisia,Africa,36.858363,10.147637
